loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.2563),0.8458214819431304,5.79529595375061,False,1,c8e1a_00000,2023-06-30_11-13-49,1688112829,5.79529595375061,16664,pe8.int.triton.aalto.fi,10.10.100.8,5.79529595375061,1
tensor(1.2074),0.8297260582447052,5.730653285980225,False,2,c8e1a_00000,2023-06-30_11-13-55,1688112835,11.525949239730835,16664,pe8.int.triton.aalto.fi,10.10.100.8,11.525949239730835,2
tensor(1.3089),0.8433778941631317,5.259722471237183,False,3,c8e1a_00000,2023-06-30_11-14-00,1688112840,16.785671710968018,16664,pe8.int.triton.aalto.fi,10.10.100.8,16.785671710968018,3
tensor(1.2663),0.8197752892971039,5.643940448760986,False,4,c8e1a_00000,2023-06-30_11-14-06,1688112846,22.429612159729004,16664,pe8.int.triton.aalto.fi,10.10.100.8,22.429612159729004,4
tensor(1.1805),0.8070863127708435,5.590551853179932,False,5,c8e1a_00000,2023-06-30_11-14-11,1688112851,28.020164012908936,16664,pe8.int.triton.aalto.fi,10.10.100.8,28.020164012908936,5
tensor(1.1340),0.7979488611221314,5.715253591537476,False,6,c8e1a_00000,2023-06-30_11-14-17,1688112857,33.73541760444641,16664,pe8.int.triton.aalto.fi,10.10.100.8,33.73541760444641,6
tensor(1.1434),0.8016617715358734,5.681734323501587,False,7,c8e1a_00000,2023-06-30_11-14-23,1688112863,39.417151927948,16664,pe8.int.triton.aalto.fi,10.10.100.8,39.417151927948,7
tensor(1.1286),0.8023954093456268,5.706940650939941,False,8,c8e1a_00000,2023-06-30_11-14-29,1688112869,45.12409257888794,16664,pe8.int.triton.aalto.fi,10.10.100.8,45.12409257888794,8
tensor(1.1613),0.7998514533042907,5.701639175415039,False,9,c8e1a_00000,2023-06-30_11-14-34,1688112874,50.82573175430298,16664,pe8.int.triton.aalto.fi,10.10.100.8,50.82573175430298,9
tensor(1.1855),0.8150044500827789,5.754833698272705,False,10,c8e1a_00000,2023-06-30_11-14-40,1688112880,56.580565452575684,16664,pe8.int.triton.aalto.fi,10.10.100.8,56.580565452575684,10
