loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.7486),1.0949155271053315,4.960176944732666,False,1,c8e1a_00001,2023-06-30_11-13-48,1688112828,4.960176944732666,16665,pe8.int.triton.aalto.fi,10.10.100.8,4.960176944732666,1
tensor(1.6866),1.0809658944606781,5.4625632762908936,False,2,c8e1a_00001,2023-06-30_11-13-54,1688112834,10.42274022102356,16665,pe8.int.triton.aalto.fi,10.10.100.8,10.42274022102356,2
tensor(1.6605),1.0627084016799926,5.385868787765503,False,3,c8e1a_00001,2023-06-30_11-13-59,1688112839,15.808609008789062,16665,pe8.int.triton.aalto.fi,10.10.100.8,15.808609008789062,3
tensor(1.7464),1.101826548576355,5.376504898071289,False,4,c8e1a_00001,2023-06-30_11-14-04,1688112844,21.18511390686035,16665,pe8.int.triton.aalto.fi,10.10.100.8,21.18511390686035,4
tensor(1.6127),1.0571271777153015,4.950935363769531,False,5,c8e1a_00001,2023-06-30_11-14-09,1688112849,26.136049270629883,16665,pe8.int.triton.aalto.fi,10.10.100.8,26.136049270629883,5
tensor(1.5740),1.0431851327419281,5.516435146331787,False,6,c8e1a_00001,2023-06-30_11-14-15,1688112855,31.65248441696167,16665,pe8.int.triton.aalto.fi,10.10.100.8,31.65248441696167,6
tensor(1.5479),1.0128045916557311,5.288710355758667,False,7,c8e1a_00001,2023-06-30_11-14-20,1688112860,36.94119477272034,16665,pe8.int.triton.aalto.fi,10.10.100.8,36.94119477272034,7
tensor(1.5855),1.048335987329483,5.445451498031616,False,8,c8e1a_00001,2023-06-30_11-14-26,1688112866,42.38664627075195,16665,pe8.int.triton.aalto.fi,10.10.100.8,42.38664627075195,8
tensor(1.3340),0.9624513983726501,5.381363868713379,False,9,c8e1a_00001,2023-06-30_11-14-31,1688112871,47.76801013946533,16665,pe8.int.triton.aalto.fi,10.10.100.8,47.76801013946533,9
tensor(1.0129),0.8277245104312897,5.137064218521118,False,10,c8e1a_00001,2023-06-30_11-14-36,1688112876,52.90507435798645,16665,pe8.int.triton.aalto.fi,10.10.100.8,52.90507435798645,10
