loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.5147),0.97382150888443,5.520367383956909,False,1,c8e1a_00022,2023-06-30_11-13-55,1688112835,5.520367383956909,16672,pe8.int.triton.aalto.fi,10.10.100.8,5.520367383956909,1
tensor(1.1191),0.8459240734577179,5.675213575363159,False,2,c8e1a_00022,2023-06-30_11-14-01,1688112841,11.195580959320068,16672,pe8.int.triton.aalto.fi,10.10.100.8,11.195580959320068,2
tensor(1.1402),0.8604232132434845,5.215055465698242,False,3,c8e1a_00022,2023-06-30_11-14-06,1688112846,16.41063642501831,16672,pe8.int.triton.aalto.fi,10.10.100.8,16.41063642501831,3
tensor(0.8210),0.7243908822536469,5.574458837509155,False,4,c8e1a_00022,2023-06-30_11-14-12,1688112852,21.985095262527466,16672,pe8.int.triton.aalto.fi,10.10.100.8,21.985095262527466,4
tensor(0.7285),0.6927258551120759,5.706050634384155,False,5,c8e1a_00022,2023-06-30_11-14-17,1688112857,27.69114589691162,16672,pe8.int.triton.aalto.fi,10.10.100.8,27.69114589691162,5
tensor(0.5617),0.5801148831844329,5.659921884536743,False,6,c8e1a_00022,2023-06-30_11-14-23,1688112863,33.351067781448364,16672,pe8.int.triton.aalto.fi,10.10.100.8,33.351067781448364,6
tensor(0.4480),0.5048347115516663,5.603526592254639,False,7,c8e1a_00022,2023-06-30_11-14-29,1688112869,38.954594373703,16672,pe8.int.triton.aalto.fi,10.10.100.8,38.954594373703,7
tensor(0.5639),0.5978181719779968,5.856443166732788,False,8,c8e1a_00022,2023-06-30_11-14-35,1688112875,44.81103754043579,16672,pe8.int.triton.aalto.fi,10.10.100.8,44.81103754043579,8
tensor(0.4350),0.5181007981300354,5.717217445373535,False,9,c8e1a_00022,2023-06-30_11-14-40,1688112880,50.528254985809326,16672,pe8.int.triton.aalto.fi,10.10.100.8,50.528254985809326,9
tensor(0.3411),0.40957354605197904,5.793961524963379,False,10,c8e1a_00022,2023-06-30_11-14-46,1688112886,56.322216510772705,16672,pe8.int.triton.aalto.fi,10.10.100.8,56.322216510772705,10
