loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.3709),0.9560553789138794,5.581272840499878,False,1,c8e1a_00067,2023-06-30_11-14-58,1688112898,5.581272840499878,16672,pe8.int.triton.aalto.fi,10.10.100.8,5.581272840499878,1
tensor(1.2007),0.8886969685554504,5.105003595352173,False,2,c8e1a_00067,2023-06-30_11-15-03,1688112903,10.68627643585205,16672,pe8.int.triton.aalto.fi,10.10.100.8,10.68627643585205,2
tensor(1.2880),0.911935156583786,5.4811694622039795,False,3,c8e1a_00067,2023-06-30_11-15-08,1688112908,16.16744589805603,16672,pe8.int.triton.aalto.fi,10.10.100.8,16.16744589805603,3
tensor(1.0450),0.8332232415676117,5.5580198764801025,False,4,c8e1a_00067,2023-06-30_11-15-14,1688112914,21.725465774536133,16672,pe8.int.triton.aalto.fi,10.10.100.8,21.725465774536133,4
tensor(0.8203),0.7404041945934295,5.61418342590332,False,5,c8e1a_00067,2023-06-30_11-15-20,1688112920,27.339649200439453,16672,pe8.int.triton.aalto.fi,10.10.100.8,27.339649200439453,5
tensor(0.5550),0.5765415310859681,5.544750452041626,False,6,c8e1a_00067,2023-06-30_11-15-25,1688112925,32.88439965248108,16672,pe8.int.triton.aalto.fi,10.10.100.8,32.88439965248108,6
tensor(0.6645),0.662791520357132,5.543936014175415,False,7,c8e1a_00067,2023-06-30_11-15-31,1688112931,38.428335666656494,16672,pe8.int.triton.aalto.fi,10.10.100.8,38.428335666656494,7
tensor(0.5507),0.5898983716964722,5.257476091384888,False,8,c8e1a_00067,2023-06-30_11-15-36,1688112936,43.68581175804138,16672,pe8.int.triton.aalto.fi,10.10.100.8,43.68581175804138,8
tensor(0.8151),0.7238254904747009,5.600773334503174,False,9,c8e1a_00067,2023-06-30_11-15-42,1688112942,49.286585092544556,16672,pe8.int.triton.aalto.fi,10.10.100.8,49.286585092544556,9
tensor(1.0652),0.8568687856197357,5.556847810745239,False,10,c8e1a_00067,2023-06-30_11-15-47,1688112947,54.843432903289795,16672,pe8.int.triton.aalto.fi,10.10.100.8,54.843432903289795,10
