loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.6166),1.0423414707183838,3.0311124324798584,False,1,4467b_00000,2023-06-30_11-31-31,1688113891,3.0311124324798584,635,pe8.int.triton.aalto.fi,10.10.100.8,3.0311124324798584,1
tensor(1.1824),0.8839506149291992,3.106152296066284,False,2,4467b_00000,2023-06-30_11-31-34,1688113894,6.137264728546143,635,pe8.int.triton.aalto.fi,10.10.100.8,6.137264728546143,2
tensor(0.8955),0.7565729498863221,3.01572585105896,False,3,4467b_00000,2023-06-30_11-31-37,1688113897,9.152990579605103,635,pe8.int.triton.aalto.fi,10.10.100.8,9.152990579605103,3
tensor(0.8295),0.7268032312393189,3.0556702613830566,False,4,4467b_00000,2023-06-30_11-31-40,1688113900,12.20866084098816,635,pe8.int.triton.aalto.fi,10.10.100.8,12.20866084098816,4
tensor(0.8437),0.7509239196777344,2.9764652252197266,False,5,4467b_00000,2023-06-30_11-31-43,1688113903,15.185126066207886,635,pe8.int.triton.aalto.fi,10.10.100.8,15.185126066207886,5
tensor(0.7765),0.6964603900909424,3.0138473510742188,False,6,4467b_00000,2023-06-30_11-31-46,1688113906,18.198973417282104,635,pe8.int.triton.aalto.fi,10.10.100.8,18.198973417282104,6
tensor(0.9127),0.7657282233238221,3.0222649574279785,False,7,4467b_00000,2023-06-30_11-31-49,1688113909,21.221238374710083,635,pe8.int.triton.aalto.fi,10.10.100.8,21.221238374710083,7
tensor(1.0039),0.7764283895492554,2.968825578689575,False,8,4467b_00000,2023-06-30_11-31-52,1688113912,24.190063953399658,635,pe8.int.triton.aalto.fi,10.10.100.8,24.190063953399658,8
tensor(0.9150),0.78065984249115,2.979834794998169,False,9,4467b_00000,2023-06-30_11-31-55,1688113915,27.169898748397827,635,pe8.int.triton.aalto.fi,10.10.100.8,27.169898748397827,9
tensor(1.0928),0.8531233787536621,3.120912790298462,False,10,4467b_00000,2023-06-30_11-31-59,1688113919,30.29081153869629,635,pe8.int.triton.aalto.fi,10.10.100.8,30.29081153869629,10
tensor(0.8267),0.7315678000450134,3.015228271484375,False,11,4467b_00000,2023-06-30_11-32-02,1688113922,33.306039810180664,635,pe8.int.triton.aalto.fi,10.10.100.8,33.306039810180664,11
tensor(0.7389),0.672041916847229,3.082965850830078,False,12,4467b_00000,2023-06-30_11-32-05,1688113925,36.38900566101074,635,pe8.int.triton.aalto.fi,10.10.100.8,36.38900566101074,12
tensor(0.8278),0.7192843675613403,2.903669595718384,False,13,4467b_00000,2023-06-30_11-32-08,1688113928,39.292675256729126,635,pe8.int.triton.aalto.fi,10.10.100.8,39.292675256729126,13
tensor(1.0818),0.8100603222846985,3.170954704284668,False,14,4467b_00000,2023-06-30_11-32-11,1688113931,42.463629961013794,635,pe8.int.triton.aalto.fi,10.10.100.8,42.463629961013794,14
tensor(0.7701),0.6988071203231812,3.048686981201172,False,15,4467b_00000,2023-06-30_11-32-14,1688113934,45.512316942214966,635,pe8.int.triton.aalto.fi,10.10.100.8,45.512316942214966,15
tensor(0.7382),0.6725670456886291,3.0359179973602295,False,16,4467b_00000,2023-06-30_11-32-17,1688113937,48.548234939575195,635,pe8.int.triton.aalto.fi,10.10.100.8,48.548234939575195,16
tensor(0.9259),0.7654754400253296,3.1191611289978027,False,17,4467b_00000,2023-06-30_11-32-20,1688113940,51.667396068573,635,pe8.int.triton.aalto.fi,10.10.100.8,51.667396068573,17
tensor(0.9584),0.7376101613044739,3.404378890991211,False,18,4467b_00000,2023-06-30_11-32-23,1688113943,55.07177495956421,635,pe8.int.triton.aalto.fi,10.10.100.8,55.07177495956421,18
