loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.7985),1.0821841955184937,3.2742209434509277,False,1,4467b_00087,2023-06-30_11-32-41,1688113961,3.2742209434509277,638,pe8.int.triton.aalto.fi,10.10.100.8,3.2742209434509277,1
tensor(1.6864),1.045027983188629,3.622008800506592,False,2,4467b_00087,2023-06-30_11-32-44,1688113964,6.8962297439575195,638,pe8.int.triton.aalto.fi,10.10.100.8,6.8962297439575195,2
tensor(1.2529),0.9171279191970825,3.1314408779144287,False,3,4467b_00087,2023-06-30_11-32-47,1688113967,10.027670621871948,638,pe8.int.triton.aalto.fi,10.10.100.8,10.027670621871948,3
tensor(1.1043),0.8727811217308045,3.2574777603149414,False,4,4467b_00087,2023-06-30_11-32-51,1688113971,13.28514838218689,638,pe8.int.triton.aalto.fi,10.10.100.8,13.28514838218689,4
tensor(1.0453),0.8529551267623902,3.2454631328582764,False,5,4467b_00087,2023-06-30_11-32-54,1688113974,16.530611515045166,638,pe8.int.triton.aalto.fi,10.10.100.8,16.530611515045166,5
tensor(1.2619),0.9141689896583557,3.2053165435791016,False,6,4467b_00087,2023-06-30_11-32-57,1688113977,19.735928058624268,638,pe8.int.triton.aalto.fi,10.10.100.8,19.735928058624268,6
tensor(1.2489),0.906230342388153,3.274996042251587,False,7,4467b_00087,2023-06-30_11-33-00,1688113980,23.010924100875854,638,pe8.int.triton.aalto.fi,10.10.100.8,23.010924100875854,7
tensor(1.1631),0.8801399230957031,3.3147025108337402,False,8,4467b_00087,2023-06-30_11-33-04,1688113984,26.325626611709595,638,pe8.int.triton.aalto.fi,10.10.100.8,26.325626611709595,8
tensor(1.0843),0.8524575233459473,3.1429603099823,False,9,4467b_00087,2023-06-30_11-33-07,1688113987,29.468586921691895,638,pe8.int.triton.aalto.fi,10.10.100.8,29.468586921691895,9
tensor(1.0878),0.855196189880371,3.25403094291687,False,10,4467b_00087,2023-06-30_11-33-10,1688113990,32.722617864608765,638,pe8.int.triton.aalto.fi,10.10.100.8,32.722617864608765,10
tensor(1.2099),0.8896723866462708,3.160707712173462,False,11,4467b_00087,2023-06-30_11-33-13,1688113993,35.88332557678223,638,pe8.int.triton.aalto.fi,10.10.100.8,35.88332557678223,11
tensor(0.9947),0.8287289619445801,3.2674930095672607,False,12,4467b_00087,2023-06-30_11-33-16,1688113996,39.15081858634949,638,pe8.int.triton.aalto.fi,10.10.100.8,39.15081858634949,12
tensor(0.9450),0.8052501440048218,3.763319969177246,False,13,4467b_00087,2023-06-30_11-33-20,1688114000,42.91413855552673,638,pe8.int.triton.aalto.fi,10.10.100.8,42.91413855552673,13
tensor(0.9455),0.812255859375,3.3013010025024414,False,14,4467b_00087,2023-06-30_11-33-24,1688114004,46.215439558029175,638,pe8.int.triton.aalto.fi,10.10.100.8,46.215439558029175,14
tensor(0.9247),0.7994658350944519,3.1436686515808105,False,15,4467b_00087,2023-06-30_11-33-27,1688114007,49.359108209609985,638,pe8.int.triton.aalto.fi,10.10.100.8,49.359108209609985,15
tensor(1.0101),0.8280542850494385,3.2559456825256348,True,16,4467b_00087,2023-06-30_11-33-30,1688114010,52.61505389213562,638,pe8.int.triton.aalto.fi,10.10.100.8,52.61505389213562,16
