loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.3787),0.9125640511512756,2.3780734539031982,False,1,4467b_01036,2023-06-30_11-55-07,1688115307,2.3780734539031982,640,pe8.int.triton.aalto.fi,10.10.100.8,2.3780734539031982,1
tensor(1.6027),1.013013744354248,2.8124516010284424,False,2,4467b_01036,2023-06-30_11-55-10,1688115310,5.190525054931641,640,pe8.int.triton.aalto.fi,10.10.100.8,5.190525054931641,2
tensor(1.1119),0.8524263501167297,2.9198415279388428,False,3,4467b_01036,2023-06-30_11-55-13,1688115313,8.110366582870483,640,pe8.int.triton.aalto.fi,10.10.100.8,8.110366582870483,3
tensor(1.1290),0.8546494960784912,4.587820768356323,False,4,4467b_01036,2023-06-30_11-55-17,1688115317,12.698187351226807,640,pe8.int.triton.aalto.fi,10.10.100.8,12.698187351226807,4
tensor(1.3691),0.944443941116333,4.122769117355347,False,5,4467b_01036,2023-06-30_11-55-21,1688115321,16.820956468582153,640,pe8.int.triton.aalto.fi,10.10.100.8,16.820956468582153,5
tensor(1.6328),1.0210594058036804,2.294978380203247,False,6,4467b_01036,2023-06-30_11-55-24,1688115324,19.1159348487854,640,pe8.int.triton.aalto.fi,10.10.100.8,19.1159348487854,6
tensor(0.9824),0.8052356481552124,3.471949815750122,False,7,4467b_01036,2023-06-30_11-55-27,1688115327,22.587884664535522,640,pe8.int.triton.aalto.fi,10.10.100.8,22.587884664535522,7
tensor(1.0960),0.8499472975730896,1.8053922653198242,False,8,4467b_01036,2023-06-30_11-55-29,1688115329,24.393276929855347,640,pe8.int.triton.aalto.fi,10.10.100.8,24.393276929855347,8
tensor(0.9929),0.8193949937820435,3.9807076454162598,False,9,4467b_01036,2023-06-30_11-55-33,1688115333,28.373984575271606,640,pe8.int.triton.aalto.fi,10.10.100.8,28.373984575271606,9
tensor(0.8992),0.7743776082992554,2.1331937313079834,False,10,4467b_01036,2023-06-30_11-55-35,1688115335,30.50717830657959,640,pe8.int.triton.aalto.fi,10.10.100.8,30.50717830657959,10
tensor(0.9616),0.792930805683136,3.8977315425872803,False,11,4467b_01036,2023-06-30_11-55-39,1688115339,34.40490984916687,640,pe8.int.triton.aalto.fi,10.10.100.8,34.40490984916687,11
tensor(1.1909),0.8920478701591492,2.4465572834014893,False,12,4467b_01036,2023-06-30_11-55-41,1688115341,36.85146713256836,640,pe8.int.triton.aalto.fi,10.10.100.8,36.85146713256836,12
tensor(1.0080),0.8130890488624573,4.283275127410889,False,13,4467b_01036,2023-06-30_11-55-46,1688115346,41.13474225997925,640,pe8.int.triton.aalto.fi,10.10.100.8,41.13474225997925,13
tensor(0.7889),0.7133880019187927,4.182116985321045,False,14,4467b_01036,2023-06-30_11-55-50,1688115350,45.31685924530029,640,pe8.int.triton.aalto.fi,10.10.100.8,45.31685924530029,14
tensor(0.8297),0.7311215877532959,3.6363484859466553,False,15,4467b_01036,2023-06-30_11-55-53,1688115353,48.95320773124695,640,pe8.int.triton.aalto.fi,10.10.100.8,48.95320773124695,15
tensor(0.9154),0.7620300769805908,8.773630380630493,True,16,4467b_01036,2023-06-30_11-56-02,1688115362,57.72683811187744,640,pe8.int.triton.aalto.fi,10.10.100.8,57.72683811187744,16
