loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.2613),0.9160732626914978,2.380427598953247,False,1,4467b_01079,2023-06-30_11-55-52,1688115352,2.380427598953247,638,pe8.int.triton.aalto.fi,10.10.100.8,2.380427598953247,1
tensor(2.1689),1.160575795173645,1.999983549118042,False,2,4467b_01079,2023-06-30_11-55-54,1688115354,4.380411148071289,638,pe8.int.triton.aalto.fi,10.10.100.8,4.380411148071289,2
tensor(1.1263),0.8644383430480957,3.141047239303589,False,3,4467b_01079,2023-06-30_11-55-57,1688115357,7.521458387374878,638,pe8.int.triton.aalto.fi,10.10.100.8,7.521458387374878,3
tensor(1.1689),0.8759164094924927,4.811694860458374,False,4,4467b_01079,2023-06-30_11-56-02,1688115362,12.333153247833252,638,pe8.int.triton.aalto.fi,10.10.100.8,12.333153247833252,4
tensor(1.1199),0.8653491735458374,6.980551719665527,False,5,4467b_01079,2023-06-30_11-56-09,1688115369,19.31370496749878,638,pe8.int.triton.aalto.fi,10.10.100.8,19.31370496749878,5
tensor(1.4389),0.9609195947647095,1.668086051940918,False,6,4467b_01079,2023-06-30_11-56-11,1688115371,20.981791019439697,638,pe8.int.triton.aalto.fi,10.10.100.8,20.981791019439697,6
tensor(0.9883),0.8263406157493591,2.843095064163208,False,7,4467b_01079,2023-06-30_11-56-13,1688115373,23.824886083602905,638,pe8.int.triton.aalto.fi,10.10.100.8,23.824886083602905,7
tensor(1.0257),0.8492079138755798,1.20365309715271,False,8,4467b_01079,2023-06-30_11-56-15,1688115375,25.028539180755615,638,pe8.int.triton.aalto.fi,10.10.100.8,25.028539180755615,8
tensor(1.0593),0.8618661522865295,1.455871820449829,False,9,4467b_01079,2023-06-30_11-56-16,1688115376,26.484411001205444,638,pe8.int.triton.aalto.fi,10.10.100.8,26.484411001205444,9
tensor(0.9444),0.8064643502235412,1.325429916381836,False,10,4467b_01079,2023-06-30_11-56-17,1688115377,27.80984091758728,638,pe8.int.triton.aalto.fi,10.10.100.8,27.80984091758728,10
tensor(0.9262),0.7993634581565857,0.45839715003967285,False,11,4467b_01079,2023-06-30_11-56-18,1688115378,28.268238067626953,638,pe8.int.triton.aalto.fi,10.10.100.8,28.268238067626953,11
tensor(0.9331),0.8069243907928467,2.70556640625,False,12,4467b_01079,2023-06-30_11-56-21,1688115381,30.973804473876953,638,pe8.int.triton.aalto.fi,10.10.100.8,30.973804473876953,12
tensor(0.8965),0.7794780850410461,1.1819934844970703,False,13,4467b_01079,2023-06-30_11-56-22,1688115382,32.15579795837402,638,pe8.int.triton.aalto.fi,10.10.100.8,32.15579795837402,13
tensor(0.8097),0.7362959146499634,0.5685675144195557,False,14,4467b_01079,2023-06-30_11-56-22,1688115382,32.72436547279358,638,pe8.int.triton.aalto.fi,10.10.100.8,32.72436547279358,14
tensor(0.6483),0.6257822513580322,1.0179815292358398,False,15,4467b_01079,2023-06-30_11-56-23,1688115383,33.74234700202942,638,pe8.int.triton.aalto.fi,10.10.100.8,33.74234700202942,15
tensor(1.1479),0.877352511882782,0.7922530174255371,True,16,4467b_01079,2023-06-30_11-56-24,1688115384,34.534600019454956,638,pe8.int.triton.aalto.fi,10.10.100.8,34.534600019454956,16
