loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.9326),1.050206482410431,2.6270761489868164,False,1,b04a4_00001,2023-06-30_16-28-03,1688131683,2.6270761489868164,24072,pe8.int.triton.aalto.fi,10.10.100.8,2.6270761489868164,1
tensor(1.7660),1.0081755757331847,3.0124645233154297,False,2,b04a4_00001,2023-06-30_16-28-06,1688131686,5.639540672302246,24072,pe8.int.triton.aalto.fi,10.10.100.8,5.639540672302246,2
tensor(1.6976),0.992866826057434,2.943234443664551,False,3,b04a4_00001,2023-06-30_16-28-09,1688131689,8.582775115966797,24072,pe8.int.triton.aalto.fi,10.10.100.8,8.582775115966797,3
tensor(1.6234),0.9745731592178345,2.9377176761627197,False,4,b04a4_00001,2023-06-30_16-28-12,1688131692,11.520492792129517,24072,pe8.int.triton.aalto.fi,10.10.100.8,11.520492792129517,4
tensor(1.5068),0.9203397870063782,2.89436411857605,False,5,b04a4_00001,2023-06-30_16-28-14,1688131694,14.414856910705566,24072,pe8.int.triton.aalto.fi,10.10.100.8,14.414856910705566,5
tensor(1.3830),0.8747161149978637,2.993391275405884,False,6,b04a4_00001,2023-06-30_16-28-17,1688131697,17.40824818611145,24072,pe8.int.triton.aalto.fi,10.10.100.8,17.40824818611145,6
tensor(1.2603),0.8398181319236755,2.970365047454834,False,7,b04a4_00001,2023-06-30_16-28-20,1688131700,20.378613233566284,24072,pe8.int.triton.aalto.fi,10.10.100.8,20.378613233566284,7
tensor(1.1080),0.7602390646934509,2.8990707397460938,False,8,b04a4_00001,2023-06-30_16-28-23,1688131703,23.277683973312378,24072,pe8.int.triton.aalto.fi,10.10.100.8,23.277683973312378,8
tensor(1.0382),0.7117734909057617,2.9140169620513916,False,9,b04a4_00001,2023-06-30_16-28-26,1688131706,26.19170093536377,24072,pe8.int.triton.aalto.fi,10.10.100.8,26.19170093536377,9
tensor(0.9725),0.6705949664115906,3.036893367767334,False,10,b04a4_00001,2023-06-30_16-28-29,1688131709,29.228594303131104,24072,pe8.int.triton.aalto.fi,10.10.100.8,29.228594303131104,10
