loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.4178),0.950593912601471,3.3547675609588623,False,1,b04a4_00068,2023-06-30_16-28-45,1688131725,3.3547675609588623,24071,pe8.int.triton.aalto.fi,10.10.100.8,3.3547675609588623,1
tensor(2.1315),1.193339991569519,3.341222047805786,False,2,b04a4_00068,2023-06-30_16-28-49,1688131729,6.695989608764648,24071,pe8.int.triton.aalto.fi,10.10.100.8,6.695989608764648,2
tensor(1.2214),0.8947693228721618,3.3645336627960205,False,3,b04a4_00068,2023-06-30_16-28-52,1688131732,10.060523271560669,24071,pe8.int.triton.aalto.fi,10.10.100.8,10.060523271560669,3
tensor(1.1934),0.8721298813819885,3.416719436645508,False,4,b04a4_00068,2023-06-30_16-28-55,1688131735,13.477242708206177,24071,pe8.int.triton.aalto.fi,10.10.100.8,13.477242708206177,4
tensor(1.3076),0.9344730973243713,3.3509411811828613,False,5,b04a4_00068,2023-06-30_16-28-59,1688131739,16.828183889389038,24071,pe8.int.triton.aalto.fi,10.10.100.8,16.828183889389038,5
tensor(1.7689),1.0741174340248107,3.8086469173431396,False,6,b04a4_00068,2023-06-30_16-29-02,1688131742,20.636830806732178,24071,pe8.int.triton.aalto.fi,10.10.100.8,20.636830806732178,6
tensor(1.2025),0.8974767565727234,3.390949249267578,False,7,b04a4_00068,2023-06-30_16-29-06,1688131746,24.027780055999756,24071,pe8.int.triton.aalto.fi,10.10.100.8,24.027780055999756,7
tensor(1.0512),0.8352615714073182,3.474208116531372,False,8,b04a4_00068,2023-06-30_16-29-09,1688131749,27.501988172531128,24071,pe8.int.triton.aalto.fi,10.10.100.8,27.501988172531128,8
tensor(0.9837),0.8125358343124389,3.33115291595459,False,9,b04a4_00068,2023-06-30_16-29-13,1688131753,30.833141088485718,24071,pe8.int.triton.aalto.fi,10.10.100.8,30.833141088485718,9
tensor(0.9800),0.8048880815505981,3.439143180847168,False,10,b04a4_00068,2023-06-30_16-29-16,1688131756,34.272284269332886,24071,pe8.int.triton.aalto.fi,10.10.100.8,34.272284269332886,10
