loss,MAE,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore
tensor(1.4588),0.9841793417930603,0.232344388961792,False,1,b04a4_01079,2023-06-30_16-40-49,1688132449,0.232344388961792,24079,pe8.int.triton.aalto.fi,10.10.100.8,0.232344388961792,1
tensor(1.1628),0.8845346450805665,3.755711078643799,False,2,b04a4_01079,2023-06-30_16-40-53,1688132453,3.988055467605591,24079,pe8.int.triton.aalto.fi,10.10.100.8,3.988055467605591,2
tensor(1.1701),0.8718046307563782,1.2473931312561035,False,3,b04a4_01079,2023-06-30_16-40-54,1688132454,5.235448598861694,24079,pe8.int.triton.aalto.fi,10.10.100.8,5.235448598861694,3
tensor(0.8653),0.7674110651016235,5.353342533111572,False,4,b04a4_01079,2023-06-30_16-41-00,1688132460,10.588791131973267,24079,pe8.int.triton.aalto.fi,10.10.100.8,10.588791131973267,4
tensor(0.8749),0.7754497766494751,2.280618667602539,False,5,b04a4_01079,2023-06-30_16-41-02,1688132462,12.869409799575806,24079,pe8.int.triton.aalto.fi,10.10.100.8,12.869409799575806,5
tensor(0.9419),0.7980106234550476,0.5037486553192139,False,6,b04a4_01079,2023-06-30_16-41-03,1688132463,13.37315845489502,24079,pe8.int.triton.aalto.fi,10.10.100.8,13.37315845489502,6
tensor(0.5898),0.5792510747909546,0.39717864990234375,False,7,b04a4_01079,2023-06-30_16-41-03,1688132463,13.770337104797363,24079,pe8.int.triton.aalto.fi,10.10.100.8,13.770337104797363,7
tensor(0.8282),0.752963387966156,0.5836617946624756,False,8,b04a4_01079,2023-06-30_16-41-04,1688132464,14.353998899459839,24079,pe8.int.triton.aalto.fi,10.10.100.8,14.353998899459839,8
tensor(0.5077),0.572607445716858,0.2084648609161377,False,9,b04a4_01079,2023-06-30_16-41-04,1688132464,14.562463760375977,24079,pe8.int.triton.aalto.fi,10.10.100.8,14.562463760375977,9
tensor(0.5326),0.5780352354049683,0.2191009521484375,False,10,b04a4_01079,2023-06-30_16-41-04,1688132464,14.781564712524414,24079,pe8.int.triton.aalto.fi,10.10.100.8,14.781564712524414,10
