loss_train_epoch: 4.583789348602295, MAE_train_epoch: 1.6736047972332349
loss_val_epoch: 1.5610322952270508, MAE_val_epoch: 0.9644544959068299
loss_train_epoch: 1.4324978590011597, MAE_train_epoch: 0.9796659549077352
loss_val_epoch: 1.4011653661727905, MAE_val_epoch: 0.9687153100967407
loss_train_epoch: 1.3724225759506226, MAE_train_epoch: 0.9491231947234182
loss_val_epoch: 1.3784008026123047, MAE_val_epoch: 0.9608774423599243
loss_train_epoch: 1.351552963256836, MAE_train_epoch: 0.9363566438357035
loss_val_epoch: 1.3718254566192627, MAE_val_epoch: 0.9250935316085815
loss_train_epoch: 1.3294436931610107, MAE_train_epoch: 0.932121273243066
loss_val_epoch: 1.327742576599121, MAE_val_epoch: 0.9159377217292786
loss_train_epoch: 0.94081711769104, MAE_train_epoch: 0.7797176693425034
loss_val_epoch: 1.0838240385055542, MAE_val_epoch: 0.8582177042961121
loss_train_epoch: 0.8993631601333618, MAE_train_epoch: 0.7664856567527308
loss_val_epoch: 0.9803475141525269, MAE_val_epoch: 0.8108882069587707
loss_train_epoch: 0.7281373739242554, MAE_train_epoch: 0.6915767554080847
loss_val_epoch: 0.8486440777778625, MAE_val_epoch: 0.7566958904266358
loss_train_epoch: 0.5477743148803711, MAE_train_epoch: 0.5458159735708525
loss_val_epoch: 0.7233956456184387, MAE_val_epoch: 0.6190127968788147
loss_train_epoch: 0.5653696656227112, MAE_train_epoch: 0.5523507179635944
loss_val_epoch: 0.6788081526756287, MAE_val_epoch: 0.6116336405277252
The minimum validation loss: 0.6504076719284058
