2023-07-08 18:05:34,659 INFO    Thread-86 (_run_job):15676 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-07-08 18:05:34,660 INFO    Thread-86 (_run_job):15676 [wandb_setup.py:_flush():76] Configure stats pid to 15676
2023-07-08 18:05:34,660 INFO    Thread-86 (_run_job):15676 [wandb_setup.py:_flush():76] Loading settings from /home/zhangx18/.config/wandb/settings
2023-07-08 18:05:34,660 INFO    Thread-86 (_run_job):15676 [wandb_setup.py:_flush():76] Loading settings from /scratch/work/zhangx18/reproduced-nam/mynam/wandb/settings
2023-07-08 18:05:34,661 INFO    Thread-86 (_run_job):15676 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'project': 'nam-sparse-features-1', 'entity': 'xinyu-zhang', 'root_dir': '/scratch/work/zhangx18/reproduced-nam/mynam', 'run_id': '6r14qz79', 'sweep_param_path': '/scratch/work/zhangx18/reproduced-nam/mynam/wandb/sweep-p3fjza3t/config-6r14qz79.yaml', 'sweep_id': 'p3fjza3t'}
2023-07-08 18:05:34,661 INFO    Thread-86 (_run_job):15676 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-07-08 18:05:34,661 INFO    Thread-86 (_run_job):15676 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-07-08 18:05:34,661 INFO    Thread-86 (_run_job):15676 [wandb_init.py:_log_setup():507] Logging user logs to /scratch/work/zhangx18/reproduced-nam/mynam/wandb/run-20230708_180534-6r14qz79/logs/debug.log
2023-07-08 18:05:34,661 INFO    Thread-86 (_run_job):15676 [wandb_init.py:_log_setup():508] Logging internal logs to /scratch/work/zhangx18/reproduced-nam/mynam/wandb/run-20230708_180534-6r14qz79/logs/debug-internal.log
2023-07-08 18:05:34,662 INFO    Thread-86 (_run_job):15676 [wandb_init.py:_jupyter_setup():453] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x2b24a737c2e0>
2023-07-08 18:05:34,662 INFO    Thread-86 (_run_job):15676 [wandb_init.py:init():547] calling init triggers
2023-07-08 18:05:34,662 INFO    Thread-86 (_run_job):15676 [wandb_init.py:init():554] wandb.init called with sweep_config: {'activation': 'relu', 'decay_rate': 0.005, 'dropout': 0.05, 'feature_dropout': 0.05, 'l2_regularization': 1.0068080543124783e-06, 'lr': 0.09623607010744678, 'output_regularization': 0.08932574830909833}
config: {}
2023-07-08 18:05:34,663 INFO    Thread-86 (_run_job):15676 [wandb_init.py:init():596] starting backend
2023-07-08 18:05:34,663 INFO    Thread-86 (_run_job):15676 [wandb_init.py:init():600] setting up manager
2023-07-08 18:05:34,675 INFO    Thread-86 (_run_job):15676 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-07-08 18:05:34,684 INFO    Thread-86 (_run_job):15676 [wandb_init.py:init():606] backend started and connected
2023-07-08 18:05:34,702 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_config_callback():1283] config_cb None None {'activation': 'relu', 'decay_rate': 0.005, 'dropout': 0.05, 'feature_dropout': 0.05, 'l2_regularization': 1.0068080543124783e-06, 'lr': 0.09623607010744678, 'output_regularization': 0.08932574830909833}
2023-07-08 18:05:34,706 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_label_probe_notebook():1235] probe notebook
2023-07-08 18:05:34,706 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_label_probe_notebook():1245] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-07-08 18:05:34,706 INFO    Thread-86 (_run_job):15676 [wandb_init.py:init():703] updated telemetry
2023-07-08 18:05:34,723 INFO    Thread-86 (_run_job):15676 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-07-08 18:05:35,180 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_on_init():2176] communicating current version
2023-07-08 18:05:35,232 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.15.5 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2023-07-08 18:05:35,232 INFO    Thread-86 (_run_job):15676 [wandb_init.py:init():787] starting run threads in backend
2023-07-08 18:05:59,621 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_console_start():2155] atexit reg
2023-07-08 18:05:59,621 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-07-08 18:05:59,621 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-07-08 18:05:59,621 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_redirect():2100] Redirects installed.
2023-07-08 18:05:59,624 INFO    Thread-86 (_run_job):15676 [wandb_init.py:init():828] run started, returning control to user process
2023-07-08 18:05:59,628 INFO    Thread-86 (_run_job):15676 [wandb_watch.py:watch():51] Watching
2023-07-08 18:06:17,030 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_finish():1890] finishing run xinyu-zhang/nam-sparse-features-1/6r14qz79
2023-07-08 18:06:17,030 INFO    Thread-86 (_run_job):15676 [jupyter.py:save_history():445] not saving jupyter history
2023-07-08 18:06:17,030 INFO    Thread-86 (_run_job):15676 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-07-08 18:06:17,030 INFO    Thread-86 (_run_job):15676 [wandb_init.py:_jupyter_teardown():435] cleaning up jupyter logic
2023-07-08 18:06:17,031 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-07-08 18:06:17,031 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_restore():2107] restore
2023-07-08 18:06:17,031 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_restore():2113] restore done
2023-07-08 18:06:21,146 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-07-08 18:06:21,151 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-07-08 18:06:21,161 INFO    Thread-86 (_run_job):15676 [wandb_run.py:_footer_sync_info():3426] logging synced files
